id,coal_name,coal_belong,coal_type,coal_price,ori_coal_13mm,ori_coal_13_10mm,ori_coal_10_8mm,ori_coal_8_6mm,ori_coal_6_5mm,ori_coal_5_4mm,ori_coal_4_3mm,ori_coal_3_2mm,ori_coal_2_1mm,ori_coal_1_05mm,ori_coal_05mm,ori_coal_total,ori_coal_fineness,sma_coal_moi,sma__coal_6mm,sma__coal_6_5mm,sma__coal_5_4mm,sma__coal_4_3mm,sma__coal_3_2mm,sma__coal_2_1mm,sma__coal_1_05mm,sma__coal_05mm,sma__coal_total,sma_coal_fineness,coal_mad,coal_ad,coal_vdaf,coal_fcd,coal_vd,coal_ada,coal_vad,coal_fcad,coal_std,coal_ana_had,coal_ana_cad,coal_ana_nad,coal_ana_oad,coal_dry_hd,coal_dry_cd,coal_dry_nd,coal_dry_od,coal_drynoash_hdaf,coal_drynoash_cdaf,coal_drynoash_ndaf,coal_drynoash_odaf,G,X,Y,T1,T2,T3,a,b,Tp,Tmax,Tk,amax,Tk_Tp,DT,ST,HT,FT,SiO2,Al2O3,Fe2O3,CaO,MgO,P2O5,Na2O,K2O,TiO2,SO3,ash_total,V,I,E,M,live_idle_ratio,Rmax,micro_var,micro_type,oven_type,coking_style,dry_quality,heap_density,oven_moi,up_temper,down_number,hot_coke_qulity,hot_ratio_coke,quench_coke_weight,coke_moi,ratio_coke,coking_date,coking_process_time,coking_start_time,center_100_time,center_500_time,center_900_time,coking_end_time,coking_end_temp,coke_mad,coke_ad,coke_vdaf,coke_fcd,coke_vd,coke_aad,coke_vad,coke_fcad,coke_std,coke_80mm,coke_80_60mm,coke_60_40mm,coke_40_25mm,coke_25_20mm,coke_20_10mm,coke_10mm,coke_5mm,coke_sum,coke_60mm,coke_fineness,coke_M40,coke_M25,coke_M10,coke_CRI,coke_CSR,coke_DT,coke_ST,coke_HT,coke_FT,coke_750,coke_800,coke_850,coke_900,coke_950,coke_1000,coke_1050,coke_1100,coke_1150,coke_1200,coke_apparent_porosity,coke_real_density,coke_fake_density,coke_total_ratio,predicted_CSR,predicted_M10,predicted_CRI_expert,predicted_CSR_expert,predicted_M10_expert,predicted_M25_expert,predicted_CRI_error,predicted_CSR_error,predicted_M10_error,predicted_M25_error,predicted_CRI,predicted_M25,store_number
"1","红果","大为制焦","1/3JM35","960","18","7","4","8","4","6","7","3","17","7","19","100","47","4","3","2","5","7","14","18","10","40","100","82","1","12","33","59","29","12","28","58","0","4","74","1","6","4","75","1","6","5","86","2","7","88","41","20","375","429","468","25","53","407","447","488","15000","81","1380","1400","1420","1460","55","21","7","5","1","0","0","1","2","3","95","57","30","10","3","2","1","0","单一煤层煤","三相","常规","43","1","10","","4","31","72","31","1","72","20140905 ","15.5 ","16:30","20:15","23:20","1:20","8:00","960 ","1","18","2","81","2","18","2","80","0","25","41","25","2","0","1","5","","100","66","65","85","90","9","37","39","1420","1450","1470","1500","0","0","0","1","4","9","25","46","","","46","2","1","46","40","8","","45","","","","","","","38","90","110"
"2","东源后所","大为制焦","1/3JM35","880","16","5","5","7","5","5","8","10","12","7","20","100","49","4","3","3","4","9","14","17","10","41","100","82","3","14","35","56","30","13","30","54","0","4","74","1","5","4","76","1","5","5","88","2","6","74","37","20","390","432","451","25","-10","413","449","478","4740","65","1380","1410","1420","1480","59","18","6","4","2","0","0","0","2","2","94","55","26","14","4","2","1","0","单一煤层煤","三相","常规","43","1","10","","4","30","70","31","3","70","20140915 ","15.5 ","16:30","20:40","0:10","1:50","8:00","955 ","1","19","1","80","1","19","1","79","0","31","33","23","3","0","1","8","","100","64","65","81","88","10","54","22","1380","1400","1420","1440","0","0","0","3","8","18","38","64","","","47","2","1","50","23","10","","30","","","","","","","55","87","114"
"3","晋茂","大为制焦","JM25","840","7","6","8","12","6","5","5","4","13","10","24","100","51","6","0","6","4","7","5","25","12","41","100","83","1","16","25","63","21","16","21","62","1","4","73","1","4","4","73","1","4","5","87","1","5","84","33","15","391","440","470","22","17","419","464","494","160","75","1430","1450","1470","1490","55","21","8","3","1","0","0","0","3","3","95","58","35","2","5","1","1","0","混煤","三相","常规","43","1","10","","4","33","78","34","1","78","20140906 ","15.5 ","16:30","19:05","23:45","2:00","8:00","963 ","1","21","1","78","1","21","1","78","1","39","38","16","2","0","1","4","","100","77","71","88","93","6","28","49","1420","1450","1470","1490","0","0","0","2","4","9","22","43","","","41","2","1","47","50","7","","47","","","","","","","29","92","201"
"4","田坝","大为制焦","JM25","910","4","4","4","5","4","3","6","9","14","8","38","100","70","5","5","3","5","8","13","16","12","38","100","79","1","14","27","62","23","14","23","62","0","4","76","1","3","4","77","1","3","5","89","2","4","88","24","22","380","434","474","21","69","413","460","496","5113","83","1360","1380","1410","1420","56","19","8","3","2","0","0","1","2","2","94","62","34","0","3","2","1","0","单一煤层煤","三相","常规","43","1","10","","4","33","76","33","1","76","20140907 ","15.5 ","16:30","19:40","23:00","1:40","8:00","961 ","1","19","1","80","1","19","1","79","0","23","41","27","3","0","1","4","","100","65","65","85","91","7","42","44","1340","1390","1400","1430","0","0","1","4","7","16","33","58","","","45","2","1","49","45","7","","","","","","","","","43","91","89"
"5","东源羊场","大为制焦","JM25","910","10","4","4","6","3","6","8","8","16","6","28","100","59","3","2","2","3","8","11","19","11","44","100","85","1","15","25","64","21","15","21","63","0","4","77","1","2","4","77","1","2","5","91","2","2","88","17","19","384","436","479","25","48","413","461","499","1200","86","1340","1370","1380","1390","55","17","10","4","2","0","0","1","2","2","93","65","30","0","5","2","1","0","单一煤层煤","三相","常规","43","1","10","","4","34","78","34","4","77","20140911 ","15.5 ","16:30","20:05","22:45","1:45","8:00","956 ","1","19","1","80","1","19","1","80","0","43","31","18","3","0","1","4","","100","74","71","86","91","7","44","39","1360","1380","1400","1410","0","0","1","5","11","22","34","55","","","44","2","2","52","40","6","","","","","","","","","44","92","145"
"6","强源","大为制焦","JM25","950","15","8","4","10","5","5","8","4","15","7","18","100","45","4","0","3","3","8","6","30","13","38","100","86","1","16","22","65","19","16","19","64","0","4","76","1","1","4","77","1","1","5","92","2","1","83","28","19","399","448","483","19","19","428","473","505","65","77","1390","1410","1430","1450","60","18","5","5","1","0","0","0","2","4","96","57","38","0","5","1","1","0","单一煤层煤","三相","常规","43","1","10","","4","34","80","35","2","80","20140908 ","15.5 ","16:30","20:50","23:45","2:15","8:00","966 ","1","22","2","77","1","21","1","77","0","63","25","5","2","0","1","4","","100","88","78","84","89","9","31","44","1390","1410","1430","1480","0","0","0","2","6","12","24","41","","","47","2","1","47","46","7","","","","","","","","","31","92","181"
"7","古冶高硫","共用","JM25","1000","7","3","4","5","4","5","6","9","14","12","31","100","66","3","3","2","4","8","11","15","13","45","100","84","1","9","26","68","23","9","23","67","3","4","80","1","1","4","81","1","1","5","89","1","2","86","33","17","396","442","474","19","39","416","458","490","270","74","1500","","","","45","32","11","2","1","0","0","1","2","1","95","68","28","0","3","2","1","0","单一煤层煤","三相","常规","43","1","10","","4","33","76","33","2","76","20140917 ","15.5 ","16:30","2:20","0:00","1:30","8:00","957 ","1","12","1","87","1","12","1","86","2","12","44","33","4","1","1","5","","100","55","60","77","87","11","39","39","1500","","","","0","0","0","1","4","11","31","50","66","81","45","2","1","45","40","","","","","","","","","","42","","48"
"8","美国1","共用","1/3JM35","980","5","3","4","6","3","5","7","9","17","11","31","100","67","3","2","1","3","8","13","21","15","38","100","86","1","7","33","63","30","7","30","62","1","5","83","1","2","5","84","1","2","5","90","2","2","103","16","16","360","406","475","18","377","386","443","482","15000","96","1500","","","","40","30","8","3","2","1","1","1","2","2","90","84","12","2","1","6","1","0","单一煤层煤","三相","常规","43","1","10","","4","31","73","31","1","73","20140909 ","15.5 ","16:30","20:30","23:05","1:20","8:00","963 ","0","10","1","89","1","10","1","88","1","27","41","21","3","0","1","6","","100","69","66","83","88","9","20","60","1500","","","","0","0","0","0","1","4","12","26","","","54","2","1","54","","","","","","","","","","","","","5"
"9","美国2","共用","QF46","1000","31","7","6","7","4","6","6","7","10","5","10","100","32","3","4","3","5","9","14","20","11","32","100","78","2","10","40","54","36","10","35","53","3","5","75","1","5","5","76","1","5","5","85","1","5","102","38","31","345","408","458","30","136","386","437","472","15000","86","1320","1360","1380","1400","37","23","16","5","1","0","1","1","1","6","91","83","11","2","4","6","1","0","单一煤层煤","三相","常规","43","1","10","","4","29","68","31","5","67","20140910 ","15.5 ","16:30","20:10","22:55","1:00","8:00","971 ","1","15","2","83","1","15","1","82","2","28","39","21","5","1","1","5","","100","67","65","70","83","12","52","24","1340","1380","1400","1420","0","0","1","5","12","23","38","61","","","47","2","1","50","","","","","","","","","","","","","8"
"10","兴义","共用","QM45","800","14","6","6","10","8","9","10","13","14","5","4","100","37","2","2","1","4","9","16","22","13","33","100","84","2","9","38","56","35","8","34","56","4","5","76","1","4","5","77","1","4","5","84","2","4","102","19","20","350","399","468","23","185","377","432","480","15000","103","1410","1420","1430","1440","26","16","47","3","1","0","0","1","1","3","99","87","8","0","4","7","1","0","单一煤层煤","三相","常规","43","1","10","","4","30","69","30","3","68","20140912 ","15.5 ","16:30","19:45","22:30","0:40","8:00","974 ","0","13","1","86","1","13","1","86","4","11","43","33","5","1","2","6","","100","54","59","70","82","14","50","29","1410","1420","1430","1440","0","0","0","2","7","18","47","75","","","53","2","1","55","","","","","","","","","","","","","91"
"11","陆良褐煤","共用","QF46","380","0","0","0","12","6","9","11","13","18","9","21","100","62","10","0","1","2","8","16","20","12","42","100","89","11","40","49","30","30","36","26","27","0","3","37","1","13","3","41","1","14","6","69","2","24","","","","","","","","","","","","","","1500","","","","51","26","4","1","2","0","0","2","2","1","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","54","2","45","1","54","1","45","0","","","","","","","","","0","","","","","","","","","","","","3","13","37","73","98","100","","0","","","","0","","","","","","","","","","","","","","","44"
"12","石油焦","共用","判据不足","1000","1","1","1","1","1","1","2","2","2","2","87","100","93","3","3","1","1","2","2","2","2","88","100","93","3","2","6","92","6","2","6","89","4","3","86","2","0","3","89","2","0","3","91","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","1","97","1","2","1","97","4","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","","102"
"13","先锋褐煤","共用","QF46","500","2","2","3","6","6","7","13","15","20","12","14","100","61","30","1","2","4","10","17","18","11","38","100","84","10","28","51","35","37","25","33","32","2","3","40","1","8","3","45","1","9","5","62","2","13","","","","","","","","","","","","","","1240","1320","1340","1360","49","21","7","8","2","1","0","2","2","5","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","56","2","43","1","55","1","43","2","","","","","","","","","0","","","","","","","","","","","","10","23","56","87","100","","","0","","","","0","","","","","","","","","","","","","","","88"
"14","雨舍褐煤","泸西","QF46","180","0","0","0","15","8","10","12","15","14","7","19","100","56","32","0","1","2","8","16","22","32","18","100","89","24","16","55","38","46","12","35","29","1","4","50","1","9","5","66","1","11","6","78","1","14","","","","","","","","","","","","","","1270","1280","1290","1300","27","15","19","15","3","0","0","1","1","13","95","61","20","1","18","2","","","","","","","","","","","","","","","","","","","","","","","","0","30","5","66","3","30","3","66","2","","","","","","","","","0","","","","","","","","","","","","22","54","84","98","100","","","0","","","","0","","","","","","","","","","","","","","","221"
"15","盛泰源","泸西","JM25","800","1","1","1","3","1","2","3","2","12","8","67","100","88","7","3","1","2","2","5","9","7","71","100","92","1","16","21","66","18","16","18","65","1","4","75","1","4","4","76","1","4","5","91","1","5","72","28","15","398","450","486","23","-5","437","477","503","60","66","1500","","","","51","25","8","4","1","0","0","0","3","6","99","68","30","0","2","2","2","0","简单混煤","三相","常规","43","1","10","","4","35","80","35","2","80","20140913 ","15.5 ","16:30","20:40","0:00","2:10","8:00","963 ","1","19","1","80","1","19","1","80","1","36","33","18","3","1","2","8","","100","68","66","84","89","9","33","44","1490","1500","","","0","0","0","3","8","18","39","60","","","45","2","1","47","","","","","","","","","","","","","197"
"16","小团山","泸西","JM24","480","4","4","2","4","3","3","5","5","11","7","52","100","75","5","4","3","4","6","8","13","10","53","100","84","1","22","22","61","17","21","17","61","1","4","69","1","3","4","70","1","3","5","89","2","4","61","30","15","396","467","476","19","-15","437","474","493","27","56","1490","1500","","","52","25","8","4","1","0","0","0","3","3","97","63","29","0","8","2","2","0","单一煤层煤","三相","常规","43","1","10","","4","35","80","36","2","81","20140914 ","15.5 ","16:30","22:00","0:15","2:25","8:00","966 ","1","25","1","74","1","25","1","73","1","52","23","8","3","1","2","10","","100","76","70","83","86","12","36","39","1480","1490","1500","","0","0","1","6","12","24","40","59","","","41","2","1","45","","","","","","","","","","","","","65"
"17","赵城","共用","FM36","700","14","7","6","8","5","6","10","9","12","7","17","100","45","8","1","2","5","9","15","20","14","34","100","82","1","9","36","58","33","9","33","57","2","5","79","1","3","5","80","1","3","5","88","1","3","98","31","28","320","399","477","28","249","371","430","510","15000","139","1500","","","","47","33","4","3","0","0","0","0","2","1","90","","","","","","1","0","单一煤层煤","三相","常规","43","1","10","","4","30","70","31","4","70","20141203 ","15.5 ","16:30","20:10","22:25","1:20","8:00","972 ","0","13","1","86","1","13","1","85","2","14","43","35","3","0","1","1","4","100","57","61","79","88","10","28","41","1500","","","","0","0","0","0","2","7","16","31","51","65","41","2","1","47","","","","","","","","","","","","","47"
"18","霍州","共用","FM36","900","18","8","6","6","6","4","6","8","9","7","22","100","46","10","1","1","5","7","16","21","13","36","100","86","1","10","35","58","32","10","32","57","2","5","78","1","3","5","79","1","3","5","88","1","3","96","30","31","342","399","470","33","252","381","440","500","15000","119","1480","1500","","","45","28","4","5","1","0","0","1","2","4","89","","","","","","1","0","单一煤层煤","三相","常规","43","1","10","","4","30","71","32","10","68","20141217 ","15.5 ","16:30","18:40","23:55","1:50","8:30","963 ","2","15","2","84","1","15","1","82","2","9","51","30","3","1","1","5","","100","61","61","82","90","8","32","42","1450","1470","1490","1500","0","0","0","2","6","12","25","43","61","76","41","2","1","42","","","","","","","","","","","","","81"
"19","配合煤C","泸西","1/3JM35","600","0","1","1","2","2","2","5","7","18","13","50","100","88","10","5","2","3","6","9","16","15","44","100","83","2","15","33","57","28","15","28","56","3","4","71","1","4","4","72","1","4","","","","","79","38","17","375","439","460","14","7","407","444","474","850","67","1360","1380","1390","1410","40","20","21","3","1","0","0","1","2","4","94","75","16","1","4","","1","0","单一煤层煤","三相","捣固","57","1","12","","4","41","73","43","3","73","20140904 ","15.5 ","16:30","22:45","1:20","3:30","8:00","968 ","1","20","1","79","1","20","1","78","3","49","29","13","2","1","1","5","","100","78","72","82","88","10","49","29","1320","1380","1400","1400","0","0","2","5","16","36","61","85","","","41","2","1","42","","","","","","","","","","","","","101"
"20","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","30","","","","","","1","","","","","","","","","","","","","78","30","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","87","10","35","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"21","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","30","","","","","","1","","","","","","","","","","","","","79","28","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","89","8","36","47","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"22","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","28","","","","","","1","","","","","","","","","","","","","75","27","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","9","33","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"23","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","30","","","","","","1","","","","","","","","","","","","","78","30","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","87","10","35","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"24","","","判据不足","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","29","","","","","","1","","","","","","","","","","","","","69","15","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","","","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"25","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","28","","","","","","1","","","","","","","","","","","","","67","28","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","88","8","39","43","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"26","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","31","","","","","","1","","","","","","","","","","","","","81","32","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","7","37","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"27","","","JM24","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","23","","","","","","1","","","","","","","","","","","","","56","22","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","1","","","","","","","","","","","","","87","9","39","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"28","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","29","","","","","","1","","","","","","","","","","","","","74","30","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","87","9","39","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"29","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","29","","","","","","2","","","","","","","","","","","","","75","29","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","88","8","39","43","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"30","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","28","","","","","","1","","","","","","","","","","","","","67","26","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","87","10","38","47","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"31","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","28","","","","","","2","","","","","","","","","","","","","72","26","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","8","35","49","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"32","","","JM24","","","","","","","","","","","","","","","","","","","","","","","","","","9","10","27","","","","","","2","","","","","","","","","","","","","64","22","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","1","","","","","","","","","","","","","84","13","42","37","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"33","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","10","11","28","","","","","","1","","","","","","","","","","","","","67","26","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","85","11","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"34","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","27","","","","","","1","","","","","","","","","","","","","80","20","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","86","11","40","37","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"35","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","28","","","","","","1","","","","","","","","","","","","","87","22","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","89","8","40","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"36","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","28","","","","","","1","","","","","","","","","","","","","79","17","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"37","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","28","","","","","","1","","","","","","","","","","","","","79","21","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","89","8","37","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"38","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","27","","","","","","2","","","","","","","","","","","","","76","17","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"39","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","29","","","","","","1","","","","","","","","","","","","","80","24","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","90","7","42","43","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"40","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","27","","","","","","2","","","","","","","","","","","","","75","19","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","88","8","35","48","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"41","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","16","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"42","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","21","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","87","8","38","44","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"43","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","2","","","","","","","","","","","","","75","17","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"44","","","1/3JM35","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","29","","","","","","2","","","","","","","","","","","","","75","25","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","86","10","41","38","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"45","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","16","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","86","41","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
"46","","","JM25","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","27","","","","","","2","","","","","","","","","","","","","72","21","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","1","","","","","","","","","","","","","87","8","38","45","","","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","",""
